,04P,08A,08AG,08G,08P,08S,08SoS,08T,10S,12A,12D,12G,12P,12Sos,12T,Mean,Standard Deviation,mean,SEM,R,R,B_GS,sem
,,,,,,,,,,,,,,,,,,,,mean,sem,,
,,,,,,,,,,,,,,,,"Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")","Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")",,,,,,
0.58,0.864977,0.780152,0.764442,0.775947,0.765704,0.788555,0.752868,0.777181,0.824163,0.703577,0.751536,0.772245,0.748797,0.734462,0.732833,0.7691626,0.0384268845728017,0.7691626,0.00992177893313971,0.7722966,0.00151074212226971,0.498433,0.0114325210554094
0.585,0.890171,0.813365,0.786904,0.800219,0.801362,0.822709,0.786051,0.810269,0.854402,0.739985,0.787684,0.805261,0.785127,0.770858,0.768847,0.8015476,0.0359010066030785,0.8015476,0.00926960004572037,0.774467133333333,0.00201398303266761,0.513540233333333,0.011283583078388
0.59,0.911995,0.843765,0.808209,0.822416,0.834049,0.853571,0.817062,0.840554,0.881234,0.774908,0.821128,0.8356,0.818787,0.804903,0.802646,0.831388466666667,0.0333175450258926,0.831388466666667,0.00860255313478652,0.777072533333333,0.00263311488340451,0.527157966666667,0.011235668018191
0.595,0.930553,0.871095,0.828289,0.842507,0.863441,0.880919,0.845593,0.867808,0.904595,0.807807,0.851497,0.863026,0.849394,0.836187,0.833811,0.8584348,0.0307679472345584,0.8584348,0.00794424981576222,0.7802382,0.00335566490778405,0.5390983,0.0112999147235463
0.6,0.946046,0.89522,0.847094,0.860553,0.889362,0.904682,0.871425,0.891918,0.924551,0.838236,0.87856,0.887412,0.876707,0.864423,0.86204,0.8825486,0.0283243752517156,0.8825486,0.00731332224277494,0.7840868,0.00417295113478858,0.5492309,0.0114862733775635
0.605,0.958742,0.916127,0.864593,0.876685,0.911782,0.924929,0.894432,0.912885,0.941278,0.865859,0.902223,0.908738,0.90062,0.889449,0.887153,0.903699666666667,0.0260322052292009,0.903699666666667,0.00672148648784993,0.788733666666667,0.00507386567259048,0.557483,0.0117953521604404
0.61,0.968953,0.933912,0.880773,0.891091,0.930797,0.941843,0.914579,0.930807,0.955033,0.890467,0.922522,0.927078,0.921159,0.911225,0.909087,0.921955066666667,0.0239051235496453,0.921955066666667,0.00617227635978714,0.794280533333333,0.00604230893337549,0.563837266666667,0.0122145852931626
0.615,0.977015,0.948758,0.900513,0.903986,0.94661,0.955696,0.931921,0.945861,0.966129,0.911972,0.9396,0.942586,0.938464,0.929825,0.927895,0.937788733333333,0.0212920818530762,0.937788733333333,0.00549759189486994,0.800808,0.0070566145046096,0.568490366666667,0.0125542063994795
0.62,0.983262,0.960919,0.918807,0.915591,0.959503,0.96682,0.946584,0.958288,0.974911,0.930403,0.953694,0.955475,0.952763,0.945416,0.943723,0.951077266666667,0.0187750007360345,0.951077266666667,0.00484768434504623,0.808367333333333,0.00808962916959654,0.571354966666667,0.0129373135146428
0.625,0.988013,0.970691,0.934785,0.92611,0.969808,0.975577,0.958761,0.968364,0.981728,0.945893,0.965098,0.966003,0.96435,0.95824,0.956794,0.962014333333333,0.016471316812077,0.962014333333333,0.00425287571355203,0.816974533333333,0.0091100232955986,0.5725199,0.0133628990091506
0.63,0.991559,0.978393,0.948483,0.935712,0.977882,0.982335,0.968687,0.97639,0.98692,0.958655,0.974145,0.974453,0.973555,0.968586,0.967382,0.9708758,0.0143743496757245,0.9708758,0.00371144112710952,0.826603266666667,0.0100831401361106,0.572136266666667,0.0137945812632201
0.635,0.994156,0.984346,0.96,0.944523,0.984082,0.987448,0.976626,0.982668,0.990797,0.968959,0.981182,0.981114,0.980725,0.976774,0.975795,0.977946333333333,0.0124642449869713,0.977946333333333,0.0032182542171726,0.837181533333333,0.0109725830947028,0.5703824,0.0141908373118755
0.64,0.996023,0.988858,0.969492,0.952621,0.988748,0.991239,0.982856,0.987489,0.993638,0.977111,0.986547,0.98627,0.9862,0.983127,0.982351,0.983504666666667,0.0107182599778313,0.983504666666667,0.00276744282629748,0.848591733333333,0.0117412261838226,0.567456466666667,0.0145086690101201
0.645,0.99734,0.992211,0.977156,0.960043,0.99219,0.993994,0.987648,0.991122,0.995679,0.98343,0.990556,0.990188,0.990297,0.98796,0.98736,0.9878116,0.00911763065087165,0.9878116,0.00235416211117975,0.8606732,0.0123533667665366,0.5635692,0.0147075288777164
0.65,0.998252,0.994653,0.983216,0.966793,0.994678,0.995958,0.991262,0.99381,0.997117,0.988226,0.993491,0.99311,0.993302,0.991565,0.99111,0.991102866666667,0.00765236360187084,0.991102866666667,0.00197583178594464,0.8732284,0.0127757662939683,0.558937233333333,0.0147515980799129
0.655,0.998871,0.996397,0.987905,0.972857,0.99644,0.997329,0.993933,0.995761,0.998111,0.991792,0.995596,0.995248,0.995461,0.994198,0.993862,0.993584066666667,0.006320416130815,0.993584066666667,0.00163192442771648,0.886033733333333,0.0129806509538388,0.553775166666667,0.0146125753815553
0.66,0.999284,0.997617,0.991455,0.978217,0.997663,0.998267,0.995867,0.997149,0.998784,0.994387,0.997076,0.996781,0.996982,0.996084,0.995841,0.995430266666667,0.00512544136728962,0.995430266666667,0.00132338327049835,0.898850666666667,0.0129478633154247,0.5482898,0.014271246585923
0.665,0.999553,0.998453,0.994085,0.982862,0.998495,0.998897,0.997238,0.998118,0.999232,0.996236,0.998096,0.99786,0.998031,0.997407,0.997236,0.9967866,0.00407305639538663,0.9967866,0.0010516586391664,0.911440133333333,0.012667794916118,0.542673233333333,0.0137194535552844
0.67,0.999727,0.999015,0.995988,0.9868,0.999049,0.999311,0.99819,0.99878,0.999523,0.997526,0.998783,0.998604,0.998739,0.998316,0.998198,0.997769933333333,0.00316654217599907,0.997769933333333,8.1759767418052E-4,0.923573933333333,0.0121439006216786,0.537098,0.0129614982958591
0.675,0.999836,0.999385,0.997336,0.990057,0.99941,0.999577,0.998837,0.999225,0.99971,0.998406,0.999237,0.999107,0.999209,0.998927,0.998848,0.9984738,0.00240557181203495,0.9984738,6.21115971074491E-4,0.935047933333333,0.0113940845799023,0.531712933333333,0.0120152005509768
