,04P,06AG,06G,06SoS,08P,08S,10-12D,10AG,10G,10S,10SoS,12P,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.685,0.998456,0.997601,0.993304,0.999256,0.997047,0.996162,0.998572,0.999404,0.998371,0.998076,0.998384,0.997935,0.997714,0.00164856653986535,0.997714,4.75900167784136E-4,0.99513075,7.94477206845464E-4,0.501291625,6.351886873148E-4
0.69,0.999025,0.998435,0.995445,0.999542,0.99809,0.997478,0.999104,0.999635,0.998969,0.998776,0.998979,0.99869,0.998514,0.00113312079112187,0.998514,3.27103796889287E-4,0.996672083333333,5.67405491507554E-4,0.500920958333333,4.47254644198421E-4
0.695,0.999398,0.999004,0.996981,0.999725,0.998793,0.998383,0.999451,0.999781,0.999363,0.999238,0.99937,0.999187,0.999056166666667,7.57971675332306E-4,0.999056166666667,2.18807575395609E-4,0.997781166666667,3.94158440557381E-4,0.5006375,3.06483007976495E-4
0.7,0.999637,0.999381,0.998051,0.999838,0.999256,0.998987,0.999671,0.999871,0.999615,0.999537,0.99962,0.999508,0.999414333333333,4.93351678610554E-4,0.999414333333333,1.42418362225478E-4,0.998557666666667,2.66172885641091E-4,0.500428333333333,2.04295623933285E-4
0.705,0.999786,0.999624,0.998775,0.999907,0.999552,0.999381,0.999807,0.999926,0.999773,0.999725,0.999776,0.999709,0.999645083333333,3.12389168224908E-4,0.999645083333333,9.01789851832868E-5,0.99908575,1.74744190738833E-4,0.500279666666667,1.3246158796106E-4
0.71,0.999877,0.999778,0.999251,0.999947,0.999736,0.999631,0.99989,0.999958,0.999869,0.999841,0.999871,0.999832,0.999790083333333,1.92228773900131E-4,0.999790083333333,5.54916671786162E-5,0.9994355,1.11494496399027E-4,0.500177291666667,8.34930817888218E-5
0.715,0.999931,0.999872,0.999554,0.999971,0.999849,0.999786,0.999938,0.999977,0.999926,0.99991,0.999928,0.999905,0.999878916666667,1.15097949064195E-4,0.999878916666667,3.32259159376933E-5,0.9996605,6.91118439176453E-5,0.500109208333333,5.11688799276693E-5
0.72,0.999962,0.999928,0.999742,0.999984,0.999915,0.999879,0.999966,0.999988,0.999959,0.99995,0.99996,0.999948,0.99993175,6.68799806981099E-5,0.99993175,1.93065874297254E-5,0.999801083333333,4.16683257245461E-5,0.500065333333333,3.04874565771357E-5
0.725,0.99998,0.99996,0.999855,0.999992,0.999954,0.999933,0.999982,0.999994,0.999978,0.999973,0.999979,0.999972,0.999962666666667,3.78593889720072E-5,0.999962666666667,1.09290642071715E-5,0.9998865,2.44126457543477E-5,0.500038083333333,1.76708549807596E-5
0.73,0.999989,0.999979,0.99992,0.999996,0.999975,0.999964,0.999991,0.999997,0.999989,0.999986,0.999989,0.999985,0.99998,2.10021643906166E-5,0.99998,6.06280263224364E-6,0.999937166666667,1.3913059775737E-5,0.500021416666667,9.98793120399035E-6
0.735,0.999995,0.999989,0.999958,0.999998,0.999987,0.999981,0.999995,0.999998,0.999994,0.999993,0.999994,0.999992,0.9999895,1.10165165258128E-5,0.9999895,3.18019439085499E-6,0.999966083333333,7.6944079786176E-6,0.500011708333333,5.43730118473629E-6
0.74,0.999997,0.999994,0.999978,0.999999,0.999994,0.99999,0.999998,0.999999,0.999997,0.999996,0.999997,0.999996,0.999994583333333,5.79118975581633E-6,0.999994583333333,1.67177248222438E-6,0.999982083333333,4.10184425138574E-6,0.50000625,2.88680836680506E-6
